"","home_team_id","away_team_id","home_team_score","away_team_score","round","home_team_name","away_team_name","home_team_points","away_team_points"
"353",16,5,2,2,36,"sport","fluminense",1,1
"354",16,15,0,1,30,"sport","goiás",0,3
"355",3,13,2,1,30,"corinthians","vitória",3,0
"356",8,5,0,1,30,"santos","fluminense",0,3
"357",3,11,1,0,36,"corinthians","grêmio",3,0
"358",18,2,2,0,30,"coritiba","botafogo",3,0
"359",10,6,1,1,30,"cruzeiro","palmeiras",1,1
"360",8,7,0,1,36,"santos","são paulo",0,3
"361",4,9,1,1,30,"bahia","atlético-mg",1,1
"362",11,20,1,0,30,"grêmio","figueirense",3,0
"363",14,17,0,1,30,"criciúma","atlético-pr",0,3
"364",18,6,2,0,36,"coritiba","palmeiras",3,0
"365",19,7,0,0,30,"chapecoense","são paulo",1,1
"366",10,15,2,1,36,"cruzeiro","goiás",3,0
"367",4,17,1,2,36,"bahia","atlético-pr",0,3
"368",12,9,2,1,36,"internacional","atlético-mg",3,0
"369",20,13,2,0,36,"figueirense","vitória",3,0
"370",19,2,2,0,36,"chapecoense","botafogo",3,0
"371",2,16,1,1,29,"botafogo","sport",1,1
"372",5,14,4,2,29,"fluminense","criciúma",3,0
"373",7,4,2,1,29,"são paulo","bahia",3,0
"374",6,8,1,3,29,"palmeiras","santos",0,3
"375",17,1,2,1,29,"atlético-pr","flamengo",3,0
"376",9,19,1,0,29,"atlético-mg","chapecoense",3,0
"377",13,10,0,1,29,"vitória","cruzeiro",0,3
"378",12,3,1,2,29,"internacional","corinthians",0,3
"379",20,18,4,0,29,"figueirense","coritiba",3,0
"380",15,11,0,0,29,"goiás","grêmio",1,1
